N;A1;A2;A3;A4;A5;A6;A7;A8;A9;B1;B2;B3;B4;B5;B6;B7;B8;B9
9;935;935;935;935;935;935;935;935;935;935;836;748;649;550;451;363;264;165
9;935;957;979;1001;1023;1034;1056;1078;1100;165;209;264;308;363;407;451;506;550
9;550;594;649;693;748;792;836;891;935;1100;1078;1056;1034;1023;1001;979;957;935
9;550;594;649;693;748;792;836;891;935;1100;979;869;748;638;517;396;286;165
9;1100;1034;968;891;825;759;693;616;550;550;616;693;759;825;891;968;1034;1100
9;1100;1078;1056;1034;1023;1001;979;957;935;550;594;649;693;748;792;836;891;935
9;1100;1056;1023;979;935;891;858;814;770;550;616;693;759;825;891;968;1034;1100
9;990;1001;1023;1034;1045;1056;1078;1089;1100;1100;1089;1078;1056;1045;1034;1023;1001;990
9;1100;1034;968;891;825;759;693;616;550;770;814;858;891;935;979;1023;1056;1100
9;1100;1089;1078;1056;1045;1034;1023;1001;990;770;814;858;891;935;979;1023;1056;1100
9;770;814;858;891;935;979;1023;1056;1100;1100;1056;1023;979;935;891;858;814;770
9;550;616;693;759;825;891;968;1034;1100;1100;1089;1078;1056;1045;1034;1023;1001;990
9;550;616;693;759;825;891;968;1034;1100;1100;1034;968;891;825;759;693;616;550
9;1100;1056;1023;979;935;891;858;814;770;990;1001;1023;1034;1045;1056;1078;1089;1100
9;990;1001;1023;1034;1045;1056;1078;1089;1100;1100;1034;968;891;825;759;693;616;550
